ID,URL,Operacion,Tipo Inmueble,Titulo,Descripcion,Precio,Moneda,Mantenimiento,Calle y Numero,Colonia,Delegacion/Municipio,Ciudad,Estado,Pais,CP,Recamaras,Baños,Medios Baños,Estacionamientos,Terreno m2,Construccion m2,Niveles Construidos,Antiguedad,Años Construccion,Num Fotos,Video URL,Tour 360 URL,Amenidades,Servicios,Extras,Exteriores,Ambientes Extra,Balcon,Elevador,Bodega,Estado Conservacion,Codigo Interno
147508537,https://www.inmuebles24.com/propiedades/clasificado/veclapin-be-grand-lomas-departamento-de-gran-formato-con-147508537.html?n_src=Listado&n_pills=%C3%81rea+de+juegos+infantiles&n_pg=1&n_pos=18,venta,departamento,Be Grand Lomas – Departamento de Gran Formato con Terraza y Vista Panorámica,,12900000.0,MXN,6500.0,Be Grand Lomas,Santa Fe,Alvaro Obregón,Ciudad de México,Ciudad De Mexico,Mexico,,3,4,,3,247.0,247.0,,10,10,9,,,"[""alberca"", ""jacuzzi"", ""area_juegos""]",null,"[""amueblado"", ""escuela_cercana"", ""duplex"", ""closet""]","[""terraza""]","[""cocina_integral""]",,Sí,,excelente,52
144334419,https://www.inmuebles24.com/propiedades/clasificado/veclcain-venta-casa-en-prado-coapa-144334419.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=6,venta,casa,Venta Casa en Prado Coapa,,11990000.0,MXN,,Jilotepec,Prado Coapa,Tlalpan,Ciudad de México,Ciudad De Mexico,Mexico,,3,2,1,2,200.0,370.0,2,44,44,8,,,"[""area_lavado""]",null,"[""escuela_cercana""]",null,"[""cocina_integral""]",,,,bueno,52
148815427,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-col.-tetelpan.-alvaro-obregon.-ciudad-148815427.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=20,venta,casa,"Casa en Venta, Col. Tetelpan. Álvaro Obregón. Ciudad México",,11200000.0,MXN,3850.0,2a. Cerrada Zampapano 12,Tizampampano,Alvaro Obregón,Ciudad de México,Ciudad De Mexico,Mexico,,3,3,1,3,409.0,351.0,2,19,19,7,,,"[""area_lavado""]",null,"[""closet"", ""chimenea"", ""escuela_cercana""]","[""terraza""]","[""cocina_integral""]",,,,bueno,63
146692807,https://www.inmuebles24.com/propiedades/desarrollo/ememvein-chiapas-13:-departamentos-en-preventa-col.-roma-norte-146692807.html?n_src=Listado&n_pg=1&n_pos=5,venta,departamento,"Chiapas 13: Departamentos en Preventa, Col. Roma Norte",,10500000.0,MXN,,"C. de Chiapas 13 Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,Cuauhtémoc,,Ciudad De Mexico,México,,3,,,,140.0,,,,,10,,,"[""gimnasio"", ""terraza""]","[""seguridad_privada""]",null,"[""terraza""]",null,,,,,24
147640980,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-polanco-147640980.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=12,venta,departamento,Departamento en Venta en Polanco,,8900000.0,MXN,4000.0,Homero 1629,Polanco,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,3,2,,1,150.0,150.0,,59,59,7,,,null,"[""seguridad_privada""]",null,null,"[""cocina_integral""]",,Sí,,,4769
148659431,https://www.inmuebles24.com/propiedades/desarrollo/ememvein-colima-410:-nuevo-lanzamiento-en-condesa-148659431.html?n_src=Listado&n_pg=1&n_pos=1,venta,,Colima 410: Nuevo Lanzamiento en Condesa,,8200000.0,MXN,,Colima 410,Condesa,Cuauhtémoc,,Ciudad De Mexico,México,,1,,,,75.0,,,,,5,,,"[""gimnasio"", ""terraza""]",null,null,"[""terraza""]",null,,,,,24
148011564,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-reforma-iztaccihuatl-sur-148011564.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=13,venta,casa,Casa en Venta en Reforma Iztaccihuatl Sur,,6890000.0,MXN,,Playa Cortes 570,Reforma Iztaccihuatl Sur,Iztacalco,Ciudad de México,Ciudad De Mexico,Mexico,,4,2,1,2,138.0,196.0,,30,30,7,,,null,null,null,"[""terraza""]","[""cocina_integral""]",,,,excelente,24
145015414,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-av-universidad-col.-del-valle-145015414.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=11,venta,departamento,"Departamento en Av Universidad, Col. del Valle",,6570000.0,MXN,,San Lorenzo S/N,Del Valle Sur,Benito Juárez,Ciudad de México,Ciudad De Mexico,Mexico,,2,2,,2,83.0,83.0,,,,7,,,null,null,null,"[""terraza""]","[""cocina_integral""]",,Sí,,,5605
148474916,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-eje-8-sur-jose-maria-rico-148474916.html?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=28,venta,departamento,"Departamento en Venta en Eje 8 Sur José María Rico, Benito Juárez, Cdmx.",,5700000.0,MXN,4000.0,Dirección no informada,Del Valle Sur,Benito Juárez,Ciudad de México,Ciudad De Mexico,Mexico,,1,1,,1,64.0,64.0,,1,1,9,,,"[""alberca""]",null,null,null,null,,,,,602555
149225254,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-la-colonia-nonoalco-149225254.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=4,venta,departamento,Departamento en Venta en La Colonia Nonoalco,,5027997.0,MXN,,Murillo 44,Santa María Nonoalco,Benito Juárez,Ciudad de México,Ciudad De Mexico,Mexico,,2,2,,1,70.0,70.0,,,,7,,,null,null,null,"[""terraza""]","[""cocina_integral""]",,Sí,,excelente,52
143662600,https://www.inmuebles24.com/propiedades/clasificado/veclccin-venta-casa-en-zacapa-col.-barrio-18-alcaldia-143662600.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=23,venta,casa,"Venta Casa en Zacapa, Col. Barrio 18, Alcaldía Xochimilco, Cdmx",,4950000.0,MXN,,Barrio 18 Zacapa,Barrio 18,Xochimilco,,Ciudad De Mexico,México,,3,2,,2,197.0,200.0,,10,10,7,,,null,"[""seguridad_privada""]","[""escuela_cercana"", ""frente_parque""]",null,"[""cocina_integral""]",,,,excelente,608016
147515798,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-nuevo-en-venta-en-ruben-dario-abilia-147515798.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=25,venta,departamento,Departamento Nuevo en Venta en Ruben Dario Abilia,,4400000.0,USD,,Departamento Nuevo en Venta en Ruben Dario Abilia,Polanco,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,3,3,1,4,390.0,390.0,,,,7,,,"[""gimnasio""]",null,null,null,null,,,,,1192
145571714,https://www.inmuebles24.com/propiedades/desarrollo/ememvein-gabino-barreda-89:-ultimos-departamentos-en-preventa-145571714.html?n_src=Listado&n_pg=1&n_pos=3,venta,departamento,"Gabino Barreda 89: Últimos Departamentos en Preventa, Col. San Rafael",,4250000.0,MXN,,"GABINO BARREDA 89 San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX",San Rafael,Cuauhtémoc,,Ciudad De Mexico,México,,1,,,,72.0,,,,,10,,,"[""gimnasio"", ""terraza""]",null,null,"[""terraza""]",null,,,,,24
149339525,https://www.inmuebles24.com/propiedades/clasificado/veclapin-vive-la-exclusividad-frente-al-bosque-de-chapultepec-149339525.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=22,venta,departamento,Vive La Exclusividad Frente Al Bosque de Chapultepec,"Vive la exclusividad frente al Bosque de ChapultepecUbicada en una de las zonas más privilegiadas de la ciudad, esta propiedad ofrece una experiencia residencial verdaderamente excepcional, con maravillosas vistas panorámicas al Bosque y al icónico Castillo de Chapultepec.Con techos altos que amplifican la sensación de amplitud, y elegantes acabados de lujo, la residencia destaca por sus pisos de madera y baños de mármol, logrando un equilibrio perfecto entre calidez y sofisticación.La amplia área social integra sala, comedor y un generoso estudio —con potencial para convertirse en una tercera recámara— todo enmarcado por grandes ventanales que permiten disfrutar de una vista abierta y permanente.Recámaras en suite cuentan con vestidor, destacando la principal por su impresionante walk-in closet y con jacuzzi.La cocina totalmente equipada, junto con áreas de servicio independientes.Equipada con tecnología moderna, climatización integral, insonorización y altos estándares de seguridad.El edificio complementa la experiencia con amenidades como gimnasio, vigilancia permanente y estacionamiento, además de una ubicación privilegiada que permite disfrutar a pie de lo mejor de la zona: gastronomía, boutiques de lujo, galerías y espacios culturales.Más que un departamento, es una propiedad única que combina ubicación, exclusividad y estilo de vida en un solo lugar.Codigo interno: ERSMHC7081Leer descripción completa",2500000.0,USD,11500.0,Campos Elíseos,Polanco V Sección,Polanco,Miguel Hidalgo,Ciudad De Mexico,Ciudad de México,,2,2,1,4,370.0,370.0,,22,22,7,,,null,"[""seguridad_privada""]",null,null,"[""cocina_integral""]",,Sí,,,52
149036651,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-lomas-de-bezares-149036651.html?n_src=Listado&n_pills=Jard%C3%ADn+privado&n_pg=1&n_pos=9,venta,casa,Casa en Lomas de Bezares,,1900000.0,USD,,Casa en Venta en Lomas de Bezares,Lomas de Bezares,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,4,4,1,3,1200.0,500.0,,,,7,,,null,null,null,"[""terraza"", ""jardin_privado""]",null,,,,,2168
149396446,https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-departamento-remate-bancario-portales-sur-149396446.html?n_src=Listado&n_pg=1&n_pos=7,venta,departamento,"Venta Departamento Remate Bancario, Portales Sur, Benito Juarez",,1686227.0,MXN,,Calle Balboa 1005,Portales Sur,Benito Juárez,Ciudad de México,Ciudad De Mexico,Mexico,,2,2,,1,85.0,85.0,,20,20,8,,,null,null,null,null,null,,,,,149023
149396468,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-la-mejor-zona-de-la-del-valle-149396468.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=14,venta,departamento,Departamento en Venta en La Mejor Zona de La del Valle Oportunida a Precio de Remate,,1676000.0,MXN,1400.0,Amores 1636,Del Valle Sur,Benito Juárez,Ciudad de México,Ciudad De Mexico,Mexico,,3,2,1,2,110.0,110.0,,23,23,7,,,null,"[""seguridad_privada""]",null,null,"[""cocina_integral""]",,Sí,,excelente,33
149394597,https://www.inmuebles24.com/propiedades/clasificado/veclcain-super-oportunidad-remate-bancario-en-la-colonia-149394597.html?n_src=Listado&n_pg=1&n_pos=16,venta,casa,Super Oportunidad Remate Bancario en La Colonia Anzures,Local comercial en remate bancario cuentas con recursos propios o préstamo de banco directo ? Si es así es una super opción de inversión.En un lugar con gran plusvalía y área comercial.Gran opción para iniciar tu negocio contactarme,1500228.0,MXN,,Gutenberg 96,Anzures,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,1,1,,4,200.0,150.0,2,15,15,7,,,null,null,null,null,null,,,,excelente,148547
149394050,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-remate-city-towers-polanco-ampliacion-149394050.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=10,venta,departamento,"Departamento, Remate, City Towers Polanco, Ampliacion Granada, Cdmx.",,1426545.0,MXN,1200.0,Lago Andromaco ,Ampliación Granada,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,3,2,1,2,130.0,130.0,,15,15,7,,,"[""alberca"", ""jacuzzi""]",null,"[""closet"", ""escuela_cercana"", ""frente_parque""]","[""terraza""]","[""cocina_integral""]",,Sí,,excelente,146576
