ID,URL,Operacion,Tipo Inmueble,Titulo,Precio,Moneda,Calle y Numero,Colonia,Delegacion/Municipio,Estado,Pais,Recamaras,Baños,Medios Baños,Estacionamientos,Terreno m2,Construccion m2,Niveles,Antiguedad,Fotos,Amenidades,Servicios,Extras,Exteriores,Balcon,Elevador,Bodega,Estado Conservacion,Mantenimiento,Video URL,Tour 360 URL,Codigo Interno
148262921,https://www.inmuebles24.com/propiedades/clasificado/vecltein-venta-terreno-en-san-jose-insurgentes-148262921.html?n_src=Listado&n_pg=1&n_pos=12,venta,terreno,Venta Terreno en San José Insurgentes,11993000.0,MXN,,San José Insurgentes,Benito Juárez,Ciudad De Mexico,México,,,,,122.0,,,,0,null,null,null,null,,,,,,,,
146692807,https://www.inmuebles24.com/propiedades/desarrollo/ememvein-chiapas-13:-departamentos-en-preventa-col.-roma-norte-146692807.html?n_src=Listado&n_pg=1&n_pos=3,venta,departamento,"Chiapas 13: Departamentos en Preventa, Col. Roma Norte",10500000.0,MXN,,Roma Norte,Cuauhtémoc,Ciudad De Mexico,México,3,,,,140.0,,,,0,null,null,null,null,,,,,,,,
149257141,https://www.inmuebles24.com/propiedades/clasificado/veclapin-country-club-churubusco-departamento-en-venta-149257141.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=20,venta,departamento,"274m² · 3 Recámaras · 3 Estacionamientos · Country Club Churubusco, Departamento en Venta",9850000.0,MXN,,Campestre Churubusco,Coyoacán,Ciudad De Mexico,México,3,3,,3,274.0,,,,0,null,null,null,null,,,,,,,,
143403850,https://www.inmuebles24.com/propiedades/clasificado/veclccin-casa-en-condominio-en-venta-en-del-valle-143403850.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=6,venta,casa,Casa en Condominio en Venta en del Valle,9390000.0,MXN,,Del Valle Centro,Benito Juárez,Ciudad De Mexico,México,3,2,,2,123.0,,,,0,null,null,null,null,,,,,,,,
146807121,https://www.inmuebles24.com/propiedades/desarrollo/ememvein-mitikah-residencias-146807121.html?n_src=Listado&n_pg=1&n_pos=5,venta,,Mitikah Residencias,9250000.0,MXN,,Del Carmen,Coyoacán,Ciudad De Mexico,México,1,,,,91.0,,,,0,null,null,null,null,,,,,,,,
148951189,https://www.inmuebles24.com/propiedades/clasificado/veclapin-penthouse-en-del-valle-centro-148951189.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=14,venta,departamento,222m² · 3 Recámaras · 3 Estacionamientos · Penthouse en del Valle Centro,8900000.0,MXN,,Del Valle Centro,Benito Juárez,Ciudad De Mexico,México,3,3,,3,222.0,,,,0,null,null,null,null,,,,,,,,
148819062,https://www.inmuebles24.com/propiedades/clasificado/veclapin-ideal-para-acondicionar-148819062.html?n_src=Listado&n_pills=Patio&n_pg=1&n_pos=15,venta,,478m² · Ideal Para Acondicionar,8800000.0,MXN,,Nueva Santa Maria,Azcapotzalco,Ciudad De Mexico,México,,,,,144.0,,,,0,null,null,null,null,,,,,,,,
141919184,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-cuauhtemoc-141919184.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=29,venta,departamento,Departamento en Venta en Cuauhtémoc,8390000.0,MXN,,Cuauhtémoc,Cuauhtémoc,Ciudad De Mexico,México,3,2,,1,163.0,,,,0,null,null,null,null,,,,,,,,
149050441,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-lomas-de-bezares-en-reforma-149050441.html?n_src=Listado&n_pills=Escuelas+cercanas&n_pg=1&n_pos=19,venta,departamento,Departamento en Venta en Lomas de Bezares en Reforma Lomas Altas,6700000.0,MXN,,Lomas de Bezares,Miguel Hidalgo,Ciudad De Mexico,México,2,2,,2,185.0,,,,0,null,null,null,null,,,,,,,,
147764317,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-santa-maria-nonoalco-147764317.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=21,venta,departamento,108m² · 2 Recámaras · 1 Estacionamiento · Departamento en Santa Maria Nonoalco,5300000.0,MXN,,Santa María Nonoalco,Benito Juárez,Ciudad De Mexico,México,2,2,,1,108.0,,,,0,null,null,null,null,,,,,,,,
148957059,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-colonia-juarez-148957059.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=28,venta,departamento,Departamento en Venta en Colonia Juarez,5200000.0,MXN,,Juárez,Cuauhtémoc,Ciudad De Mexico,México,1,1,,,77.0,,,,0,null,null,null,null,,,,,,,,
148271664,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-portales-norte-148271664.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=30,venta,departamento,101m² · 2 Recámaras · 2 Estacionamientos · Departamento en Portales Norte,5155500.0,MXN,,Portales Norte,Benito Juárez,Ciudad De Mexico,México,2,2,,2,101.0,,,,0,null,null,null,null,,,,,,,,
149374240,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-pb-en-venta-en-la-colonia-portales-norte-149374240.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=10,venta,departamento,67m² · 2 Recámaras · 1 Estacionamiento · Departamento Pb en Venta en La Colonia Portales Norte,4291021.0,MXN,,Portales Norte,Benito Juárez,Ciudad De Mexico,México,2,2,,1,67.0,,,,0,null,null,null,null,,,,,,,,
145571714,https://www.inmuebles24.com/propiedades/desarrollo/ememvein-gabino-barreda-89:-ultimos-departamentos-en-preventa-145571714.html?n_src=Listado&n_pg=1&n_pos=1,venta,departamento,"Gabino Barreda 89: Últimos Departamentos en Preventa, Col. San Rafael",4250000.0,MXN,,San Rafael,Cuauhtémoc,Ciudad De Mexico,México,1,,,,72.0,,,,0,null,null,null,null,,,,,,,,
147537271,https://www.inmuebles24.com/propiedades/clasificado/veclapin-ubicacion-y-medios-de-comunicacion-al-alcance-de-tu-147537271.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=27,venta,,93m² · 3 Recámaras · 1 Estacionamiento · Ubicacion y Medios de Comunicacion Al Alcance de Tu Mano,3500000.0,MXN,,Álamos,Benito Juárez,Ciudad De Mexico,México,3,2,,1,93.0,,,,0,null,null,null,null,,,,,,,,
149396460,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-remate-bancario-en-calle-san-isidro-149396460.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=9,venta,departamento,"Departamento en Remate Bancario en Calle San Isidro, Azcapotzalco Cerca de Parque Tezozomoc.",2127000.0,MXN,,Las Armas,Azcapotzalco,Ciudad De Mexico,México,2,1,,1,65.0,,,,0,null,null,null,null,,,,,,,,
